Timestamp,VelX,VelY,VelZ,VelRMS,AngleX,AngleY,AngleZ,Temp,DispX,DispY,DispZ,DispRMS,FreqX,FreqY,FreqZ,Battery,MPU_GX,MPU_GY,MPU_GZ
18:19:48,12,7,11,17.7,0.49,0.6,0.25,22.8,405,216,273,534.0,3,4,0,100,0.0,0.0,-1.0
18:19:48,12,7,11,17.7,0.49,0.6,0.25,22.8,405,216,273,534.0,3,4,0,100,0.0,0.0,-1.0
18:19:48,12,7,11,17.7,0.49,0.6,0.25,22.8,405,216,273,534.0,3,4,0,100,0.0,0.0,-1.0
18:19:48,12,7,11,17.7,0.49,0.6,0.25,22.8,405,216,273,534.0,0,5,1,100,0.0,0.0,-1.0
18:19:48,7,3,7,10.3,0.18,0.43,0.36,22.6,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.8,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.8,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.7,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.7,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.7,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.7,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.8,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.8,190,100,189,286.0,0,5,1,100,0.0,0.0,-1.0
18:19:49,7,3,7,10.3,0.18,0.43,0.36,22.7,190,100,189,286.0,3,2,0,100,0.0,0.0,-1.0
18:19:49,8,9,12,17.0,0.42,0.59,0.46,22.9,227,264,344,489.0,3,2,0,100,0.0,0.0,-1.0
18:19:50,8,9,12,17.0,0.42,0.59,0.46,22.9,227,264,344,489.0,3,2,0,100,0.0,0.0,-1.0
