Timestamp,VelX,VelY,VelZ,VelRMS,AngleX,AngleY,AngleZ,Temp,DispX,DispY,DispZ,DispRMS,FreqX,FreqY,FreqZ,Battery,MPU_GX,MPU_GY,MPU_GZ
18:04:06,0,0,0,0.0,0.0,0.0,0.0,22.7,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:06,0,0,0,0.0,0.0,0.0,0.0,22.9,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:06,0,0,0,0.0,0.0,0.0,0.0,22.8,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:06,0,0,0,0.0,0.0,0.0,0.0,22.7,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:06,0,0,0,0.0,0.0,0.0,0.0,22.9,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.9,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.8,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.7,1,1,1,2.0,6,2,4,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.7,1,1,1,2.0,7,1,3,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.8,1,1,1,2.0,7,1,3,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.8,1,1,1,2.0,7,1,3,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.9,1,1,1,2.0,7,1,3,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.9,1,1,1,2.0,7,1,3,100,0.0,0.0,-1.0
18:04:07,0,0,0,0.0,0.0,0.0,0.0,22.9,1,1,1,2.0,7,1,3,100,0.0,0.0,-1.0
